;Таблицы;
ROZISK;ОБЩИЙ РОЗЫСК ЛИЦ;10
ROZ_DOC;РОЗЫСКНЫЕ ДОКУМЕНТЫ;10
S_FLTYPE;СПРАВОЧНИК ТИПОВ ДЕЛ;10
FLATTACH;ОПЕРАЦИИ ПО ДЕЛУ;10
PROT_GR;ОБМЕН ДАННЫМИ В ГРАЖДАНСТВЕ;0
S_ATTACH;ШАБЛОНЫ ОПЕРАЦИЙ;10
PROTKKGR;ВЫДЕЛЕНИЕ ИЗМЕНЕНИЙ ИЗ КРАЯ;0
S_LINE;СПРАВОЧНИК ЛИНИЙ РОДСТВА;100
PCMDS;СПРАВОЧНИК КОМАНД ПЕЧАТИ;0
PRNCMDS;КОМАНДЫ ПРИНТЕРОВ;0
S_MONEU;СПРАВОЧНИК ФИНАНСИРОВАНИЯ;3
S_PER;СПРАВОЧНИК ПЕРИОДИЧНОСТИ;3
S_GRDELO;ОТНОШЕНИЕ К ДЕЛУ ПО ГРАЖДАН-ВУ;10
TO_CHECK;ПРОВЕРКА РЕГИСТРАЦИИ;100
S_CHECK;РЕЗУЛЬТАТЫ ПРОВЕРКИ РЕГИСТР.;1
SB_ORNT;ОРИЕНТИРОВКА;10
MAINKEYS;ГЛАВНЫЕ КЛЮЧИ ТАБЛИЦ;10
OBJ_LOCK;БЛОКИРОВКА ОБЪЕКТОВ УЧЕТА;3
OUTPUTIN;ВЫДАЧА ИНФОРМАЦИИ;3
S_REACT;СПРАВОЧНИК ТИПОВ РЕАКЦИЙ;10
PROT_KAB;ПРОТОКОЛ ПРИЕМА ДАННЫХ ИЗ КАБ;10
LC_GRDOC;ПОДТВЕРЖДАЮЩИЕ ДОКУМЕНТЫ;10
S_GR_MOS;СТАТЬИ ДЛЯ ОТЧЕТА НА МОСКВУ;100
S_PLAN;СПРАВОЧНИК ПЛАНОВ;100
S_SOG;СПРАВОЧНИК СОГ/ГНР;100
S_ST_OT;СПРАВОЧНИК СТАТУСОВ ОТДЕЛОВ;100
S_PR_DB;ПРИЗНАКИ ДОКУМЕНТА-БЛАНКА;100
S_TP_EXP;ТИПЫ ЭКСПОРТА;100
SO_PAY;ПРЕЙСКУРАНТ УСЛУГ;100
PAYS;УСЛУГИ;100
S_RELPAY;СООТВЕТСТВИЕ УСЛУГ И ЭЛЕМ.МЕНЮ;100
S_ST_LIN;ЛИНИИ СЛУЖБЫ ПО СТАТЬЯМ;0
S_SHTAMP;ПЕЧАТИ ФМС;100
S_FONT;ШРИФТЫ;100
WATCHREQ;СТОРОЖЕВЫЕ ЗАПРОСЫ;0
S_ZON;СПИСОК ЗОН;100
TO_CHILD;ДЕТИ В ТО;100
TO_OVIR;ДОПОЛНЕНИЕ ОВИР;100
S_6CHAPT;КВАЛИФИКАЦИЯ ПО 6-Й ГЛАВЕ УК;100
S_ORGDCS;ОРГАНИЗАЦИИ, ВЫНОСЯЩИЕ РЕШЕНИЯ;100
S_HOUSE;СПРАВОЧНИК ВИДОВ ЖИЛИЩА;100
S_RANGES;ДОПУСТИМЫЕ ДИАПАЗОНЫ;0
REKVISIT;РЕКВИЗИТЫ ПЛАТЕЖЕЙ;0
FIELDS;ПОЛЯ БЛАНКОВ ДОКУМЕНТОВ;100
S_ACCESS;КАТЕГОРИИ ДОСТУПА;100
SO_GEO;ГЕОГРАФИЧЕСКИЕ ПОНЯТИЯ;100
OB_ACNTS;ОСНОВАНИЕ ОГРАНИЧЕНИЯ ДОСТУПА;3
S_MAGAZ;СПРАВОЧНИК МАГАЗИНОВ;100
S_TEL;СПРАВОЧНИК ТИПОВ ТЕЛЕФОНОВ;100
S_KUPEVT;ВИДЫ ПРОИСШЕСТВИЙ В КУСП;100
CR_ALG;АЛГОРИТМЫ ПО ОПЕРАЦИЯМ;0
CR_OP_AR;СТАТЬИ ОСНОВАНИЯ ОПЕРАЦИЙ УД;100
CR_OP_OB;ОБЪЕКТЫ В ОПЕРАЦИЯХ УД;100
S_ALG;СПРАВОЧНИК АЛГОРИТМОВ;0
S_JUST;СПРАВОЧНИК СУДОВ;100
OB_OWNER;ИНФОРМИРУЕМЫЕ СОТРУДНИКИ;100
S_LCPHTP;ВИДЫ ФОТОГРАФИЙ ЧЕЛОВЕКА;0
S_MRGKND;ВИДЫ ВЗАИМОДЕЙСТВИЯ;0
S_JRN;СПРАВОЧНИК ТИПОВ ЖУРНАЛОВ;100
OWNERDOC;ВЛАДЕЛЬЦЫ ДОКУМЕНТОВ В РОЗЫСКЕ;10
OWINFOTP;ВИДЫ СООБЩЕНИЙ СОТРУДНИКАМ;100
CIVILSPC;ЗАПРЕЩЕННЫЕ ПОЛЯ;0
LC_KPP;ПЕРЕСЕЧЕНИЕ КПП;100
S_KPPDIR;НАПРАВЛЕНИЯ ПЕРЕСЕЧЕНИЯ КПП;100
